id_contrato,data_solicitacao,data_aprovacao,departamento,tipo_contrato,valor,status,dias_para_aprovacao,aprovador
CT11730,2023-01-02,2023-01-18,Compras,Software,204444.92,Aprovado,16.0,Alexandre Pereira
CT36329,2023-01-02,2023-01-05,Financeiro,Consultoria,219831.78,Aprovado,3.0,Anthony Gabriel Costa
CT46016,2023-01-02,2023-01-24,Jurídico,Evento,351037.34,Aprovado,22.0,Srta. Ana Lívia Monteiro
CT12404,2023-01-02,2023-01-08,RH,Treinamento,249164.68,Aprovado,6.0,Liz Costela
CT45323,2023-01-02,2023-01-20,Jurídico,Fornecedor,17770.92,Aprovado,18.0,Joana Albuquerque
CT38785,2023-01-02,2023-01-09,TI,Treinamento,37154.06,Aprovado,7.0,Liz Costela
CT20737,2023-01-02,2023-01-15,Financeiro,Treinamento,217306.45,Aprovado,13.0,Cecilia Alves
CT42744,2023-01-02,,TI,Evento,35837.1,Pendente,,
CT22122,2023-01-02,2023-01-20,Financeiro,Fornecedor,348263.1,Aprovado,18.0,Sr. Theodoro Macedo
CT18542,2023-01-02,2023-01-14,Jurídico,Fornecedor,189558.45,Aprovado,12.0,Alexandre Pereira
CT22281,2023-01-02,2023-01-12,Marketing,Prestação de Serviços,447011.09,Aprovado,10.0,Liz Costela
CT46982,2023-01-02,2023-01-18,Financeiro,Software,404128.61,Aprovado,16.0,Dr. José Miguel Porto
CT06607,2023-01-02,2023-01-29,RH,Software,355555.74,Aprovado,27.0,Srta. Ana Lívia Monteiro
CT20027,2023-01-02,2023-01-21,Financeiro,Consultoria,191478.75,Aprovado,19.0,Srta. Ana Lívia Monteiro
CT19995,2023-01-02,2023-01-31,Jurídico,Treinamento,249053.09,Aprovado,29.0,Srta. Larissa Fernandes
CT32524,2023-01-02,2023-01-04,Financeiro,Software,269237.04,Aprovado,2.0,Luiz Felipe Costa
CT34102,2023-01-02,2023-01-21,Operações,Prestação de Serviços,195435.67,Aprovado,19.0,Dr. João Rios
CT49045,2023-01-02,2023-01-15,Financeiro,Fornecedor,59109.54,Aprovado,13.0,Anthony Gabriel Costa
CT33184,2023-01-02,2023-01-25,Operações,Fornecedor,471211.87,Aprovado,23.0,Dr. João Rios
CT00099,2023-01-02,,Operações,Fornecedor,389431.78,Rejeitado,,
CT19516,2023-01-02,,TI,Software,450165.86,Cancelado,,
CT44953,2023-01-02,2023-01-30,TI,Treinamento,242612.59,Aprovado,28.0,Luiz Fernando Fogaça
CT34334,2023-01-02,,Marketing,Evento,74921.81,Rejeitado,,
CT23404,2023-01-02,2023-01-12,Jurídico,Evento,393595.3,Aprovado,10.0,Alexandre Pereira
CT12125,2023-01-02,2023-01-07,Marketing,Fornecedor,311346.04,Aprovado,5.0,Luiz Fernando Fogaça
CT46036,2023-01-02,2023-01-07,Compras,Evento,196779.93,Aprovado,5.0,Cecilia Alves
CT36453,2023-01-03,,Compras,Treinamento,440906.0,Cancelado,,
CT20741,2023-01-03,2023-01-05,Marketing,Software,347101.81,Aprovado,2.0,Apollo Santos
CT29823,2023-01-03,2023-01-13,Operações,Consultoria,409769.01,Aprovado,10.0,Joana Albuquerque
CT10795,2023-01-03,2023-01-23,Compras,Consultoria,21740.11,Aprovado,20.0,Liz Costela
CT40966,2023-01-03,2023-01-16,RH,Prestação de Serviços,131885.84,Aprovado,13.0,Luiz Fernando Fogaça
CT37337,2023-01-03,2023-01-08,Compras,Prestação de Serviços,75616.64,Aprovado,5.0,Asafe Cardoso
CT20766,2023-01-03,2023-01-22,Financeiro,Software,316762.26,Aprovado,19.0,Joana Albuquerque
CT33765,2023-01-03,2023-01-04,Jurídico,Prestação de Serviços,129763.64,Aprovado,1.0,Cecilia Alves
CT34540,2023-01-03,2023-01-26,Financeiro,Software,487158.37,Aprovado,23.0,Sr. Theodoro Macedo
CT47971,2023-01-03,2023-01-15,Marketing,Evento,478084.83,Aprovado,12.0,Liz Costela
CT40048,2023-01-03,2023-01-12,Jurídico,Treinamento,378069.74,Aprovado,9.0,Luiz Fernando Fogaça
CT29528,2023-01-03,,Operações,Evento,357783.8,Pendente,,
CT12864,2023-01-03,2023-01-21,Operações,Treinamento,110309.41,Aprovado,18.0,Asafe Cardoso
CT29210,2023-01-03,2023-01-30,Marketing,Consultoria,344183.72,Aprovado,27.0,Pedro Henrique Nunes
CT03872,2023-01-03,2023-01-19,RH,Consultoria,44957.3,Aprovado,16.0,Srta. Larissa Fernandes
CT14422,2023-01-03,2023-01-14,Jurídico,Prestação de Serviços,462154.71,Aprovado,11.0,Anthony Vargas
CT33284,2023-01-03,2023-01-20,Jurídico,Prestação de Serviços,310186.63,Aprovado,17.0,Dr. João Rios
CT42906,2023-01-03,2023-01-06,Financeiro,Software,69684.43,Aprovado,3.0,Luiz Felipe Costa
CT47089,2023-01-03,2023-01-18,RH,Consultoria,44458.54,Aprovado,15.0,Cecilia Alves
CT15489,2023-01-03,2023-01-09,TI,Software,206363.19,Aprovado,6.0,Sr. Theodoro Macedo
CT45632,2023-01-03,2023-01-17,Marketing,Treinamento,363829.76,Aprovado,14.0,Alexandre Pereira
CT45489,2023-01-03,2023-01-06,Operações,Fornecedor,384755.27,Aprovado,3.0,Alexandre Pereira
CT46850,2023-01-03,2023-01-26,Jurídico,Software,349159.12,Aprovado,23.0,Joana Albuquerque
CT28061,2023-01-03,2023-01-08,RH,Treinamento,202455.44,Aprovado,5.0,Calebe Rodrigues
CT10275,2023-01-03,2023-01-26,Marketing,Consultoria,112476.47,Aprovado,23.0,Srta. Ana Lívia Monteiro
CT42182,2023-01-03,2023-01-20,Operações,Software,135067.1,Aprovado,17.0,Anthony Gabriel Costa
CT09224,2023-01-03,,Operações,Fornecedor,320715.56,Pendente,,
CT02541,2023-01-03,2023-01-09,Marketing,Treinamento,435286.83,Aprovado,6.0,Sr. Theodoro Macedo
CT37038,2023-01-03,,Marketing,Fornecedor,51045.89,Pendente,,
CT43906,2023-01-03,2023-01-24,Compras,Evento,211435.53,Aprovado,21.0,Joana Albuquerque
CT31992,2023-01-03,2023-01-21,Financeiro,Evento,171385.78,Aprovado,18.0,Apollo Santos
CT19600,2023-01-03,2023-01-13,Jurídico,Evento,272568.52,Aprovado,10.0,Joana Albuquerque
CT15637,2023-01-03,2023-01-25,Operações,Software,109645.14,Aprovado,22.0,Isadora Moraes
CT19321,2023-01-03,2023-01-15,Jurídico,Fornecedor,156375.29,Aprovado,12.0,Luiz Felipe Costa
CT10964,2023-01-03,2023-01-25,Marketing,Evento,151533.45,Aprovado,22.0,Liz Costela
CT07246,2023-01-03,2023-01-23,RH,Fornecedor,294229.88,Aprovado,20.0,Isadora Moraes
CT07547,2023-01-03,2023-01-29,Compras,Prestação de Serviços,466444.78,Aprovado,26.0,Alexandre Pereira
CT29951,2023-01-03,2023-01-29,RH,Fornecedor,470102.41,Aprovado,26.0,Cecilia Alves
CT05065,2023-01-03,2023-01-13,Compras,Treinamento,109746.66,Aprovado,10.0,Calebe Rodrigues
CT32360,2023-01-03,2023-01-26,TI,Software,365753.97,Aprovado,23.0,Calebe Rodrigues
CT37065,2023-01-03,2023-01-08,Marketing,Software,30622.54,Aprovado,5.0,Liz Costela
CT25042,2023-01-03,2023-01-30,Financeiro,Prestação de Serviços,142326.03,Aprovado,27.0,Anthony Gabriel Costa
CT25060,2023-01-03,2023-01-12,Financeiro,Evento,203363.97,Aprovado,9.0,Joana Albuquerque
CT28364,2023-01-03,2023-01-04,RH,Software,317803.33,Aprovado,1.0,Liz Costela
CT16858,2023-01-03,2023-01-05,Jurídico,Evento,15096.48,Aprovado,2.0,Cecilia Alves
CT15011,2023-01-03,2023-01-16,Jurídico,Fornecedor,221677.9,Aprovado,13.0,Dr. José Miguel Porto
CT41486,2023-01-03,2023-01-12,Financeiro,Software,335193.26,Aprovado,9.0,Isadora Moraes
CT40697,2023-01-03,2023-01-06,TI,Prestação de Serviços,10916.8,Aprovado,3.0,Dr. João Rios
CT37406,2023-01-03,2023-01-19,Jurídico,Prestação de Serviços,394270.69,Aprovado,16.0,Dr. José Miguel Porto
CT25534,2023-01-03,2023-01-14,RH,Consultoria,56065.97,Aprovado,11.0,Cecilia Alves
CT46693,2023-01-03,2023-01-07,Marketing,Evento,22094.8,Aprovado,4.0,Cecilia Alves
CT18943,2023-01-03,2023-01-05,Marketing,Evento,453800.92,Aprovado,2.0,Luiz Felipe Costa
CT29974,2023-01-03,,Financeiro,Consultoria,106693.19,Rejeitado,,
CT42362,2023-01-03,2023-01-10,Compras,Evento,239429.68,Aprovado,7.0,Ana Luiza Jesus
CT10291,2023-01-04,2023-01-06,Financeiro,Treinamento,412824.6,Aprovado,2.0,Luiz Felipe Costa
CT10886,2023-01-04,,TI,Prestação de Serviços,15797.86,Cancelado,,
CT35142,2023-01-04,2023-01-12,TI,Prestação de Serviços,129258.39,Aprovado,8.0,Apollo Santos
CT04661,2023-01-04,2023-01-19,Financeiro,Software,480057.47,Aprovado,15.0,Ana Luiza Jesus
CT45264,2023-01-04,2023-01-29,RH,Software,133258.76,Aprovado,25.0,Davi Lucas Carvalho
CT01702,2023-01-04,2023-01-15,TI,Treinamento,164980.91,Aprovado,11.0,Liz Costela
CT34650,2023-01-04,2023-01-06,Compras,Evento,157529.74,Aprovado,2.0,Dr. João Rios
CT29712,2023-01-04,,Compras,Fornecedor,345375.41,Rejeitado,,
CT16404,2023-01-04,2023-01-16,Marketing,Evento,431168.05,Aprovado,12.0,Dr. João Rios
CT31751,2023-01-04,2023-01-14,Financeiro,Fornecedor,307927.33,Aprovado,10.0,Asafe Cardoso
CT15527,2023-01-04,2023-01-31,TI,Consultoria,341883.04,Aprovado,27.0,Cecilia Alves
CT31293,2023-01-04,2023-01-09,RH,Prestação de Serviços,212725.29,Aprovado,5.0,Luiz Felipe Costa
CT32029,2023-01-04,2023-01-28,Financeiro,Fornecedor,372287.85,Aprovado,24.0,Apollo Santos
CT31170,2023-01-04,,TI,Prestação de Serviços,439965.99,Pendente,,
CT13099,2023-01-04,,Compras,Consultoria,45665.45,Rejeitado,,
CT30797,2023-01-04,2023-01-18,Marketing,Fornecedor,235103.22,Aprovado,14.0,Ana Luiza Jesus
CT32622,2023-01-04,,RH,Treinamento,130338.79,Rejeitado,,
CT32767,2023-01-04,2023-01-27,Operações,Treinamento,207754.77,Aprovado,23.0,Anthony Vargas
CT40288,2023-01-04,,Jurídico,Fornecedor,486684.99,Pendente,,
CT30501,2023-01-04,2023-01-25,Financeiro,Prestação de Serviços,274397.0,Aprovado,21.0,Anthony Gabriel Costa
CT04713,2023-01-04,,TI,Prestação de Serviços,228349.74,Pendente,,
CT30087,2023-01-04,,Jurídico,Software,469428.23,Pendente,,
CT35720,2023-01-04,2023-01-14,RH,Fornecedor,455324.31,Aprovado,10.0,Luiz Fernando Fogaça
CT29952,2023-01-04,2023-01-22,Marketing,Evento,194924.8,Aprovado,18.0,Luiz Fernando Fogaça
CT38674,2023-01-04,,Compras,Evento,473852.3,Cancelado,,
CT33917,2023-01-04,,Compras,Treinamento,137527.06,Rejeitado,,
CT10714,2023-01-04,,Financeiro,Prestação de Serviços,84514.46,Rejeitado,,
CT34428,2023-01-04,2023-01-26,Compras,Prestação de Serviços,482940.47,Aprovado,22.0,Srta. Ana Lívia Monteiro
CT34645,2023-01-04,2023-01-24,Marketing,Fornecedor,117336.62,Aprovado,20.0,Apollo Santos
CT01373,2023-01-04,2023-01-13,Compras,Evento,373037.22,Aprovado,9.0,Luiz Fernando Fogaça
CT35928,2023-01-04,2023-01-23,TI,Prestação de Serviços,98643.21,Aprovado,19.0,Calebe Rodrigues
CT12862,2023-01-04,2023-01-11,TI,Prestação de Serviços,183345.56,Aprovado,7.0,Joana Albuquerque
CT13714,2023-01-04,2023-01-11,Operações,Fornecedor,19931.34,Aprovado,7.0,Anthony Vargas
CT41362,2023-01-04,2023-01-12,Financeiro,Prestação de Serviços,34928.41,Aprovado,8.0,Luiz Felipe Costa
CT44230,2023-01-04,,Compras,Treinamento,356980.08,Rejeitado,,
CT37736,2023-01-04,,Marketing,Fornecedor,353853.0,Cancelado,,
CT43177,2023-01-04,2023-01-09,Financeiro,Software,476628.18,Aprovado,5.0,Joana Albuquerque
CT36763,2023-01-04,2023-01-19,RH,Prestação de Serviços,19413.94,Aprovado,15.0,Calebe Rodrigues
CT44197,2023-01-04,2023-01-21,Jurídico,Evento,357160.69,Aprovado,17.0,Luiz Fernando Fogaça
CT48317,2023-01-04,2023-01-30,Financeiro,Treinamento,262097.42,Aprovado,26.0,Calebe Rodrigues
CT20586,2023-01-04,2023-01-31,Financeiro,Treinamento,346561.83,Aprovado,27.0,Davi Lucas Carvalho
CT48816,2023-01-04,2023-01-23,Operações,Treinamento,176244.93,Aprovado,19.0,Alexandre Pereira
CT37097,2023-01-04,2023-01-24,Operações,Fornecedor,241076.38,Aprovado,20.0,Anthony Vargas
CT41714,2023-01-04,2023-01-19,Operações,Evento,471277.16,Aprovado,15.0,Calebe Rodrigues
CT11611,2023-01-04,2023-01-13,RH,Software,191414.25,Aprovado,9.0,Joana Albuquerque
CT08006,2023-01-04,2023-01-06,Operações,Fornecedor,63775.03,Aprovado,2.0,Anthony Gabriel Costa
CT21023,2023-01-04,2023-01-18,Operações,Software,107149.18,Aprovado,14.0,Liz Costela
CT44284,2023-01-04,2023-01-12,Jurídico,Consultoria,273972.76,Aprovado,8.0,Calebe Rodrigues
CT47471,2023-01-04,2023-01-07,Marketing,Prestação de Serviços,14388.65,Aprovado,3.0,Pedro Henrique Nunes
CT24113,2023-01-04,2023-02-02,Jurídico,Fornecedor,43416.75,Aprovado,29.0,Joana Albuquerque
CT23782,2023-01-04,,Compras,Software,204920.75,Pendente,,
CT23646,2023-01-04,,RH,Fornecedor,407294.43,Pendente,,
CT23560,2023-01-04,,RH,Software,439474.93,Pendente,,
CT48980,2023-01-04,2023-01-08,Jurídico,Evento,169235.38,Aprovado,4.0,Luiz Fernando Fogaça
CT18709,2023-01-04,2023-02-03,TI,Treinamento,380708.25,Aprovado,30.0,Cecilia Alves
CT42332,2023-01-04,2023-01-16,Compras,Treinamento,64032.25,Aprovado,12.0,Cecilia Alves
CT22692,2023-01-04,2023-01-24,Operações,Consultoria,153767.39,Aprovado,20.0,Calebe Rodrigues
CT18677,2023-01-04,,Compras,Evento,330802.53,Pendente,,
CT07765,2023-01-04,,Marketing,Fornecedor,430662.73,Pendente,,
CT21935,2023-01-04,2023-01-23,Financeiro,Software,469333.48,Aprovado,19.0,Davi Lucas Carvalho
CT22502,2023-01-04,2023-01-25,Jurídico,Consultoria,85319.18,Aprovado,21.0,Alexandre Pereira
CT18432,2023-01-04,2023-01-05,Marketing,Software,373766.23,Aprovado,1.0,Liz Costela
CT08231,2023-01-04,2023-01-22,Financeiro,Software,374829.91,Aprovado,18.0,Apollo Santos
CT07648,2023-01-04,2023-01-17,RH,Treinamento,109316.06,Aprovado,13.0,Joana Albuquerque
CT03843,2023-01-04,2023-01-07,Marketing,Consultoria,398820.09,Aprovado,3.0,Srta. Larissa Fernandes
CT37111,2023-01-04,2023-01-22,Jurídico,Evento,261762.62,Aprovado,18.0,Anthony Gabriel Costa
CT07347,2023-01-04,2023-02-03,Jurídico,Prestação de Serviços,268911.28,Aprovado,30.0,Alexandre Pereira
CT27251,2023-01-04,,Operações,Fornecedor,321591.22,Pendente,,
CT26774,2023-01-04,2023-01-11,Compras,Prestação de Serviços,323853.01,Aprovado,7.0,Dr. José Miguel Porto
CT36404,2023-01-04,,Jurídico,Fornecedor,141652.28,Rejeitado,,
CT44378,2023-01-04,2023-01-12,Jurídico,Treinamento,459294.12,Aprovado,8.0,Pedro Henrique Nunes
CT47552,2023-01-04,,RH,Consultoria,9374.34,Pendente,,
CT25987,2023-01-04,2023-01-30,Compras,Treinamento,139046.07,Aprovado,26.0,Ana Luiza Jesus
CT36546,2023-01-04,2023-01-07,TI,Treinamento,442075.83,Aprovado,3.0,Srta. Larissa Fernandes
CT43248,2023-01-04,2023-01-08,Financeiro,Consultoria,284318.96,Aprovado,4.0,Joana Albuquerque
CT02150,2023-01-04,2023-01-15,Jurídico,Fornecedor,364144.21,Aprovado,11.0,Luiz Felipe Costa
CT27654,2023-01-04,2023-01-13,Operações,Prestação de Serviços,46755.41,Aprovado,9.0,Cecilia Alves
CT48288,2023-01-04,2023-01-16,Compras,Prestação de Serviços,373630.75,Aprovado,12.0,Anthony Gabriel Costa
CT26136,2023-01-04,2023-01-09,RH,Consultoria,485999.48,Aprovado,5.0,Davi Lucas Carvalho
CT20260,2023-01-04,,Marketing,Prestação de Serviços,196348.39,Rejeitado,,
CT11989,2023-01-05,2023-01-27,RH,Prestação de Serviços,164543.43,Aprovado,22.0,Luiz Fernando Fogaça
CT41874,2023-01-05,2023-01-11,Marketing,Prestação de Serviços,241784.44,Aprovado,6.0,Srta. Ana Lívia Monteiro
CT31432,2023-01-05,,Financeiro,Prestação de Serviços,46197.76,Pendente,,
CT09247,2023-01-05,2023-01-23,RH,Prestação de Serviços,386814.7,Aprovado,18.0,Liz Costela
CT48873,2023-01-05,2023-01-07,Jurídico,Prestação de Serviços,465361.0,Aprovado,2.0,Apollo Santos
CT34002,2023-01-05,2023-01-08,Operações,Prestação de Serviços,251366.29,Aprovado,3.0,Srta. Ana Lívia Monteiro
CT05652,2023-01-05,2023-01-12,Marketing,Treinamento,96862.63,Aprovado,7.0,Dr. João Rios
CT12260,2023-01-05,2023-01-30,Jurídico,Evento,13415.29,Aprovado,25.0,Dr. João Rios
CT35906,2023-01-05,2023-02-01,Marketing,Fornecedor,409731.34,Aprovado,27.0,Luiz Felipe Costa
